id,scientific.name,accepted.name,family,taxon.rank,taxon.status,search.str,threat.status,notes,original.search,life.form,habitat,vegetation.type,domain,corrected.name
139896,Marcetia cardosoana A.K.A.Santos & A.B.Martins,NA,Melastomataceae,species,accepted,Marcetia cardosoana,NA,,Marcetia cardosoana,Arbusto,Rupícola|Terrícola,Campo rupestre,Caatinga,Marcetia cardosoana
9648,Marcetia taxifolia (A.St.-Hil.) DC.,NA,Melastomataceae,species,accepted,Marcetia taxifolia,NA,replaced synonym,Marcetia cordigera,Arbusto|Subarbusto,Terrícola,Campo rupestre|Cerrado (lato sensu)|Floresta Ombrófila Mista|Restinga,Amazônia|Caatinga|Cerrado|Mata Atlântica,Marcetia taxifolia
9648,Marcetia taxifolia (A.St.-Hil.) DC.,NA,Melastomataceae,species,accepted,Marcetia taxifolia,NA,replaced synonym,Marcetia decussata,Arbusto|Subarbusto,Terrícola,Campo rupestre|Cerrado (lato sensu)|Floresta Ombrófila Mista|Restinga,Amazônia|Caatinga|Cerrado|Mata Atlântica,Marcetia taxifolia
25789,Marcetia eimeariana A.B.Martins & Woodgyer,NA,Melastomataceae,species,accepted,Marcetia eimeariana,NA,,Marcetia eimeariana,Arbusto|Subarbusto,Rupícola|Terrícola,Campo rupestre,Caatinga,Marcetia eimeariana
9647,Marcetia ericoides (Spreng.) O.Berg ex Cogn.,NA,Melastomataceae,species,accepted,Marcetia ericoides,NA,,Marcetia ericoides,Arbusto|Erva|Subarbusto,Terrícola,Restinga,Caatinga|Cerrado|Mata Atlântica,Marcetia ericoides
9648,Marcetia taxifolia (A.St.-Hil.) DC.,NA,Melastomataceae,species,accepted,Marcetia taxifolia,NA,replaced synonym,Marcetia excoriata,Arbusto|Subarbusto,Terrícola,Campo rupestre|Cerrado (lato sensu)|Floresta Ombrófila Mista|Restinga,Amazônia|Caatinga|Cerrado|Mata Atlântica,Marcetia taxifolia
NA,NA,NA,NA,NA,NA,NA,NA,not found,Marcetia fastigiata imbricata,NA,NA,NA,NA,Marcetia taxifolia
9648,Marcetia taxifolia (A.St.-Hil.) DC.,NA,Melastomataceae,species,accepted,Marcetia taxifolia,NA,replaced synonym,Marcetia fastigiata,Arbusto|Subarbusto,Terrícola,Campo rupestre|Cerrado (lato sensu)|Floresta Ombrófila Mista|Restinga,Amazônia|Caatinga|Cerrado|Mata Atlântica,Marcetia taxifolia
19639,Marcetia formosa Wurdack,NA,Melastomataceae,species,accepted,Marcetia formosa,EN,,Marcetia formosa,Arbusto|Subarbusto,Rupícola|Terrícola,Campo rupestre|Cerrado (lato sensu),Caatinga,Marcetia formosa
9648,Marcetia taxifolia (A.St.-Hil.) DC.,NA,Melastomataceae,species,accepted,Marcetia taxifolia,NA,replaced synonym,Marcetia gardneri,Arbusto|Subarbusto,Terrícola,Campo rupestre|Cerrado (lato sensu)|Floresta Ombrófila Mista|Restinga,Amazônia|Caatinga|Cerrado|Mata Atlântica,Marcetia taxifolia
19638,Marcetia canescens Naudin,NA,Melastomataceae,species,accepted,Marcetia canescens,NA,replaced synonym,Marcetia gracillima,Arbusto|Erva|Subarbusto,Terrícola,Campo rupestre|Cerrado (lato sensu),Caatinga|Cerrado,Marcetia canescens
19640,Marcetia grandiflora Markgr.,NA,Melastomataceae,species,accepted,Marcetia grandiflora,NA,,Marcetia grandiflora,Arbusto,Rupícola|Terrícola,Campo rupestre,Caatinga,Marcetia grandiflora
19641,Marcetia harleyi Wurdack,NA,Melastomataceae,species,accepted,Marcetia harleyi,NA,,Marcetia harleyi,Arbusto|Subarbusto,Rupícola|Terrícola,Campo rupestre|Cerrado (lato sensu),Caatinga,Marcetia harleyi
30703,Marcetia hatschbachii A.B.Martins,NA,Melastomataceae,species,accepted,Marcetia hatschbachii,EN,,Marcetia hatschbachii,Subarbusto,Rupícola,Campo rupestre|Cerrado (lato sensu),Cerrado,Marcetia hatschbachii
9648,Marcetia taxifolia (A.St.-Hil.) DC.,NA,Melastomataceae,species,accepted,Marcetia taxifolia,NA,replaced synonym,Marcetia hirsuta,Arbusto|Subarbusto,Terrícola,Campo rupestre|Cerrado (lato sensu)|Floresta Ombrófila Mista|Restinga,Amazônia|Caatinga|Cerrado|Mata Atlântica,Marcetia taxifolia
19642,Marcetia lanuginosa Wurdack,NA,Melastomataceae,species,accepted,Marcetia lanuginosa,NA,,Marcetia lanuginosa,Arbusto|Subarbusto,Rupícola|Terrícola,Campo rupestre|Cerrado (lato sensu),Caatinga,Marcetia lanuginosa
