gbifID	type	format	identifier	references	title	description	created	creator	contributor	publisher	audience	source	license	rightsHolder
1252648878	StillImage	image/jpeg	http://www.kew.org/herbcatimg/630591.jpg	http://specimens.kew.org/herbarium/K001066918									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
1252648876	StillImage	image/jpeg	http://www.kew.org/herbcatimg/615838.jpg	http://specimens.kew.org/herbarium/K001066855									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
1252648875	StillImage	image/jpeg	http://www.kew.org/herbcatimg/619070.jpg	http://specimens.kew.org/herbarium/K001066889									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
1252648872	StillImage	image/jpeg	http://www.kew.org/herbcatimg/619062.jpg	http://specimens.kew.org/herbarium/K001066881									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
1252648870	StillImage	image/jpeg	http://www.kew.org/herbcatimg/619053.jpg	http://specimens.kew.org/herbarium/K001066872									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
1252648869	StillImage	image/jpeg	http://www.kew.org/herbcatimg/619056.jpg	http://specimens.kew.org/herbarium/K001066875									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
1252648867	StillImage	image/jpeg	http://www.kew.org/herbcatimg/615843.jpg	http://specimens.kew.org/herbarium/K001066856									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
1252648865	StillImage	image/jpeg	http://www.kew.org/herbcatimg/615857.jpg	http://specimens.kew.org/herbarium/K001066859									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
1252648864	StillImage	image/jpeg	http://www.kew.org/herbcatimg/619035.jpg	http://specimens.kew.org/herbarium/K001066847									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
1252648863	StillImage	image/jpeg	http://www.kew.org/herbcatimg/619066.jpg	http://specimens.kew.org/herbarium/K001066885									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
1252648862	StillImage	image/jpeg	http://www.kew.org/herbcatimg/619041.jpg	http://specimens.kew.org/herbarium/K001066853									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
1252648861	StillImage	image/jpeg	http://www.kew.org/herbcatimg/619095.jpg	http://specimens.kew.org/herbarium/K001066914									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
1252648860	StillImage	image/jpeg	http://www.kew.org/herbcatimg/619050.jpg	http://specimens.kew.org/herbarium/K001066869									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
