taxa,suggested,corrected,obs
Mimosa foliolosa ssp. brevibractea,Mimosa foliolosa var. brevibractea,Mimosa foliolosa var. brevibractea,
Mimosa foliolosa var. antana,Mimosa foliolosa var. antana,Mimosa foliolosa var. antana,
Mimosa foliolosa var. franciscana,Mimosa foliolosa var. franciscana,Mimosa foliolosa var. franciscana,
Mimosa foliolosa var. paranani,Mimosa foliolosa var. paranani,Mimosa foliolosa var. paranani,
Mimosa foliolosa var. rigens,Mimosa foliolosa var. rigens,Mimosa foliolosa var. rigens,
Mimosa foliolosa var. viscidula,Mimosa foliolosa var. viscidula,Mimosa foliolosa var. viscidula,
Mimosa foliolosa vernicosa,Mimosa foliolosa var. vernicosa,Mimosa foliolosa var. vernicosa,
Mimosa foliolosa viscidula,Mimosa foliolosa var. viscidula,Mimosa foliolosa var. viscidula,
Mimosa foliosa corpulenta,Mimosa foliolosa var. corpulenta,Mimosa foliolosa var. corpulenta,
Mimosa foliosa foliosa,NA,Mimosa foliolosa var. foliolosa,
Mimosa foliosa franciscana,Mimosa foliolosa var. franciscana,Mimosa foliolosa var. franciscana,
Mimosa foliosa,Mimosa foliolosa,Mimosa foliolosa,
Mimosa foliosa peregrina,Mimosa foliolosa var. peregrina,Mimosa foliolosa var. peregrina,
Mimosa foliosa pubescens,Mimosa foliolosa var. pubescens,Mimosa foliolosa var. pubescens,
Mimosa formosana,Mimosa formosana,Mimosa formosana,
Mimosa furfuracea,Mimosa furfuracea,Mimosa furfuracea,
Mimosa furfuracea paranensis,Mimosa furfuracea var. paranensis,Mimosa furfuracea var. paranensis,
Mimosa gardneri,Mimosa gardneri,Mimosa gardneri,
Mimosa gatesiae,Mimosa gatesiae,Mimosa gatesiae,
Mimosa gemmulata adamantina,Mimosa gemmulata var. adamantina,Mimosa gemmulata var. adamantina,
Mimosa gemmulata cristallina,Mimosa gemmulata var. cristallina,Mimosa gemmulata var. cristallina,
Mimosa gemmulata gemmulata,Mimosa gemmulata var. gemmulata,Mimosa gemmulata var. gemmulata,
Mimosa gemmulata,Mimosa gemmulata,Mimosa gemmulata,
Mimosa gemmulata occidentalis,Mimosa gemmulata var. occidentalis,Mimosa gemmulata var. occidentalis,
Mimosa gemmulata var. adamantina,Mimosa gemmulata var. adamantina,Mimosa gemmulata var. adamantina,
Mimosa gemmulata var. cristallina,Mimosa gemmulata var. cristallina,Mimosa gemmulata var. cristallina,
Mimosa glabra,Mimosa glabra,Mimosa glabra,
Mimosa glaucescens glaucescens,NA,Mimosa glaucescens,synonym of Mimosa glaucescens
Mimosa glaucescens,Mimosa glaucescens,Mimosa glaucescens,
Mimosa glaucescens var.galucenscens,NA,Mimosa glaucescens,synonym of Mimosa glaucescens
Mimosa glaucescens var.glaucenscens,NA,Mimosa glaucescens,synonym of Mimosa glaucescens
Mimosa glaucescens var. glaucescens,Mimosa rufescens var. rufescens,Mimosa glaucescens,incorrect suggestion; synonym of Mimosa glaucescens
Mimosa glaucula,Mimosa glaucula,Mimosa glaucula,
Mimosa glutinosa,Mimosa glutinosa,Mimosa glutinosa,
Mimosa glycyrrhizoides,Mimosa glycyrrhizoides,Mimosa glycyrrhizoides,
Mimosa gracilis brevissima,Mimosa gracilis var. brevissima,Mimosa gracilis var. brevissima,
Mimosa gracilis capillipes,Mimosa gracilis var. capillipes,Mimosa gracilis var. capillipes,
Mimosa gracilis filiformis,Mimosa gracilis var. filiformis,Mimosa gracilis var. filiformis,
